0,0,0,0,0,0,1
1,1,69,1000001,2825,20,0
1,1,70,1000001,2817,12,0
1,1,71,1000001,2824,8,0
1,1,68,1000001,2815,3,0
3,2,0,1000001,2813,2813,1
1,0,13,1000002,2364,6,0
1,0,14,1000002,2364,17,0
1,0,11,1000002,2372,7,0
1,0,12,1000002,2357,4,0
3,2,0,1000002,2357,2357,1
1,0,5,1000003,840,4,0
1,0,6,1000003,839,17,0
1,0,7,1000003,841,11,0
1,0,8,1000003,841,19,0
3,2,0,1000003,833,833,1
1,0,45,1000004,3246,16,0
1,0,42,1000004,3244,13,0
1,0,43,1000004,3233,1,0
1,0,44,1000004,3236,17,0
3,2,0,1000004,3232,3232,1
1,0,89,1000005,3026,0,0
1,0,90,1000005,3034,13,0
1,0,91,1000005,3031,5,0
1,0,92,1000005,3023,7,0
3,2,0,1000005,3023,3023,1
1,0,97,1000006,2999,3,0
1,0,98,1000006,2999,6,0
1,0,99,1000006,3012,7,0
1,0,100,1000006,3012,5,0
3,2,0,1000006,2998,2998,1
1,1,66,1000007,198,6,0
3,2,0,1000007,183,183,1
1,1,53,1000008,344,16,0
1,1,54,1000008,355,11,0
1,1,55,1000008,345,8,0
1,1,56,1000008,345,6,0
3,2,0,1000008,340,340,1
1,1,17,1000009,1586,9,0
1,1,18,1000009,1584,5,0
1,1,15,1000009,1595,10,0
1,1,20,1000009,1588,20,0
3,2,0,1000009,1581,1581,1
1,0,125,1000010,895,11,0
1,0,126,1000010,900,0,0
1,0,123,1000010,904,7,0
1,0,124,1000010,891,4,0
3,2,0,1000010,891,891,1
